id  ,pair       ,price     ,units               ,total_price         ,currency,unixtime     ,status,action,related,profit
6305,B-ADA_BTC  ,1.065e-05 ,9.389671361502348   ,0.0001              ,BTC     ,1612063200000,DONE  ,BUY   ,6356   ,N/A
6306,B-ATOM_BTC ,0.0002494 ,0.400962309542903   ,0.0001              ,BTC     ,1612096500000,DONE  ,BUY   ,6337   ,N/A
6307,B-ALPHA_BTC,6.01e-05  ,1.663893510815308   ,0.0001              ,BTC     ,1612056300000,DONE  ,BUY   ,6325   ,N/A
6308,B-ATOM_BTC ,0.0002476 ,0.4038772213247173  ,0.0001              ,BTC     ,1612105800000,DONE  ,BUY   ,6337   ,N/A
6309,B-BQX_BTC  ,7.846e-05 ,1.274534794799898   ,0.0001              ,BTC     ,1612062000000,DONE  ,BUY   ,6319   ,N/A
6310,B-ETC_BTC  ,0.0002211 ,0.45228403437358666 ,0.0001              ,BTC     ,1612096200000,DONE  ,BUY   ,6322   ,N/A
6311,B-COMP_BTC ,0.009283  ,0.010772379618657763,0.0001              ,BTC     ,1612068600000,DONE  ,BUY   ,6344   ,N/A
6312,B-EOS_ETH  ,0.002163  ,4.623208506703652   ,0.01                ,ETH     ,1612108800000,DONE  ,BUY   ,6330   ,N/A
6313,B-CRV_BTC  ,7.32e-05  ,1.3661202185792352  ,0.0001              ,BTC     ,1612104600000,DONE  ,BUY   ,6331   ,N/A
6314,B-DUSK_BTC ,2.32e-06  ,43.103448275862064  ,0.0001              ,BTC     ,1612118400000,DONE  ,BUY   ,-1     ,N/A
6315,B-ETC_BTC  ,0.0002211 ,0.45228403437358666 ,0.0001              ,BTC     ,1612106100000,DONE  ,BUY   ,6322   ,N/A
6316,B-EGLD_BTC ,0.00196   ,0.0510204081632653  ,0.0001              ,BTC     ,1612089900000,DONE  ,BUY   ,6328   ,N/A
6317,B-LRC_ETH  ,0.00037641,26.56677559044659   ,0.01                ,ETH     ,1612104000000,DONE  ,BUY   ,-1     ,N/A
6318,B-LRC_ETH  ,0.00036974,27.046032347054688  ,0.01                ,ETH     ,1612106100000,DONE  ,BUY   ,-1     ,N/A
